Code,名稱,網址,評分,餐點類型
mq7f,早到晚到 (彰化中正店),/restaurant/mq7f/zao-dao-wan-dao-zhang-hua-zhong-zheng-dian,5 stars out of 5,台式
pui4,火車頭小吃 (彰化店),/restaurant/pui4/huo-che-tou-xiao-chi-zhang-hua-dian,4.8 stars out of 5,台式
tdxz,可不可熟成紅茶 (彰化中正店),/restaurant/tdxz/ke-bu-ke-shou-cheng-hong-cha-zhang-hua-zhong-zheng-dian,4.9 stars out of 5,飲料
g58s,霖生炒鴨肉羹,/restaurant/g58s/lin-sheng-chao-ya-rou-geng,4.5 stars out of 5,台式
nz2a,茶經鮮奶茶專賣店,/restaurant/nz2a/cha-jing-xian-nai-cha-zhuan-mai-dian,4.9 stars out of 5,飲料
z9ey,一手私藏世界紅茶 (彰化和平店),/restaurant/z9ey/shou-si-cang-shi-jie-hong-cha-zhang-hua-he-ping-dian,4.8 stars out of 5,飲料
mp7q,春陽茶事 (彰化中正店),/restaurant/mp7q/chun-yang-cha-shi-zhang-hua-zhong-zheng-dian,4.9 stars out of 5,飲料
e6ve,頂好馨臭臭鍋 (彰化店),/restaurant/e6ve/ding-hao-xin-chou-chou-guo-zhang-hua-dian,4.9 stars out of 5,台式
rkk7,369無骨鹹酥雞,/restaurant/rkk7/369wu-gu-xian-su-ji,4.7 stars out of 5,小吃
k0rn,彰化木瓜牛乳大王 (中正總店),/restaurant/k0rn/zhang-hua-mu-gua-niu-ru-da-wang-zhong-zheng-zong-dian,4.9 stars out of 5,甜點
d6qx,松江町鍋物專賣店,/restaurant/d6qx/song-jiang-ting-guo-wu-zhuan-mai-dian,4.6 stars out of 5,日式
sdyw,梁社漢排骨 (彰化中正店),/restaurant/sdyw/liang-she-han-pai-gu-zhang-hua-zhong-zheng-dian,4.9 stars out of 5,台式
o50r,Ummi印尼料理,/restaurant/o50r/ummiyin-ni-liao-li,4.8 stars out of 5,東南亞
h2ad,慶園廣東粥,/restaurant/h2ad/qing-yuan-guang-dong-zhou,4.8 stars out of 5,中式
dpfi,奶熊複合式茶飲,/restaurant/dpfi/nai-xiong-fu-he-shi-cha-yin,4.6 stars out of 5,歐美
a5mf,天仁茗茶 (彰化店),/restaurant/a5mf/tian-ren-ming-cha-zhang-hua-dian,4.9 stars out of 5,飲料
k2gs,川定爌肉飯 (彰化陳陵店),/restaurant/k2gs/chuan-ding-kuang-rou-fan-zhang-hua-chen-ling-dian,未知,台式
a8kb,民生傳統豆花,/restaurant/a8kb/min-sheng-chuan-tong-dou-hua,4.9 stars out of 5,甜點
z6gf,大鼎鍋,/restaurant/z6gf/da-ding-guo,4.8 stars out of 5,台式
a3ug,疄木鹹酥雞 (民生店),/restaurant/a3ug/lin-mu-xian-su-ji-min-sheng-dian,4.7 stars out of 5,小吃
znu3,明洞韓式料理 (彰化陳稜店),/restaurant/znu3/ming-dong-han-shi-liao-li-zhang-hua-chen-leng-dian,4.6 stars out of 5,韓式
l41f,嗑咖哩,/restaurant/l41f/ke-ka-li,4.8 stars out of 5,日式
e0yq,紅燈籠臭豆腐,/restaurant/e0yq/hong-deng-long-chou-dou-fu,4.7 stars out of 5,台式
jicb,彰化精食巧,/restaurant/jicb/zhang-hua-jing-shi-qiao,4.8 stars out of 5,歐美
sssz,豐原排骨飯,/restaurant/sssz/feng-yuan-pai-gu-fan,4.6 stars out of 5,台式
tedw,厚野雞排 (彰化中正店),/restaurant/tedw/hou-ye-ji-pai-zhang-hua-zhong-zheng-dian,4.9 stars out of 5,小吃
bld1,脆嫩雞排,/restaurant/bld1/cui-nen-ji-pai,5 stars out of 5,小吃
a9qo,YOLO MOMENT 新美式烘焙,/restaurant/a9qo/yolo-moment-xin-mei-shi-hong-bei,4.8 stars out of 5,甜點
a4wz,乙奉茶堂,/restaurant/a4wz/yi-feng-cha-tang,4.7 stars out of 5,飲料
o9qv,風味食堂,/restaurant/o9qv/feng-wei-shi-tang-o9qv,4.8 stars out of 5,台式
mkzi,Comebuy (彰化民生店),/restaurant/mkzi/comebuy-zhang-hua-min-sheng-dian,4.8 stars out of 5,飲料
mctj,21PLUS、21風味館 (彰化中正門市),/restaurant/mctj/21plus-21feng-wei-guan-zhang-hua-zhong-zheng-men-shi,4.9 stars out of 5,歐美
a4rc,米內瓦之家,/restaurant/a4rc/mi-nei-wa-zhi-jia,4.9 stars out of 5,歐美
rcbl,來口爆一下手工鮮肉湯包,/restaurant/rcbl/lai-kou-bao-xia-shou-gong-xian-rou-tang-bao,4.8 stars out of 5,早餐
